artist,track,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,energyLiveness
Nicky Jam,Si Te Preguntan...,Si Te Preguntan...,0.76,0.803,-2.867,0.0306,0.531,0.0,0.0555,0.922,136.945,3.7179,14.468468468468467
Nicky Jam,Hasta el Amanecer,Fénix,0.832,0.608,-6.042,0.0385,0.282,0.0,0.0761,0.589,94.013,3.311783333333333,7.989487516425755
Nicky Jam,Color Esperanza 2020,Color Esperanza 2020,0.591,0.785,-7.768,0.161,0.161,0.0,0.126,0.785,106.002,3.625783333333333,6.23015873015873
Nicky Jam,Donde Estan las Gatas,Gargolas 3,0.827,0.788,-11.937,0.0831,0.246,0.0,0.0764,0.815,109.933,2.8334166666666665,10.314136125654452
The Beatles,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.179,0.394,129.171,3.09555,3.016759776536313
The Beatles,Let It Be - Remastered 2009,Let It Be (Remastered),0.443,0.403,-8.339,0.0322,0.631,0.0,0.111,0.41,143.462,4.05045,3.630630630630631
The Beatles,Come Together - Remastered 2009,Abbey Road (Remastered),0.533,0.376,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007,4.33245,4.060475161987041
The Beatles,Yesterday - Remastered 2009,Help! (Remastered),0.332,0.179,-11.83,0.0326,0.879,0.0,0.0886,0.315,96.529,2.09445,2.020316027088036
The Beatles,Twist And Shout - Remastered 2009,Please Please Me (Remastered),0.482,0.849,-9.198,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,2.5871166666666667,20.507246376811597
The Beatles,Blackbird - Remastered 2009,The Beatles (Remastered),0.686,0.127,-14.361,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,2.30645,2.216404886561955
The Beatles,In My Life - Remastered 2009,Rubber Soul (Remastered),0.688,0.435,-11.359,0.0323,0.449,0.0,0.113,0.435,103.239,2.438883333333333,3.849557522123894
The Beatles,Hey Jude - Remastered 2015,1 (Remastered),0.386,0.607,-7.7,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,7.094216666666667,6.897727272727273
The Beatles,I Want To Hold Your Hand - Remastered 2015,1 (Remastered),0.49,0.715,-5.549,0.0476,0.386,0.0,0.311,0.866,130.726,2.429116666666667,2.2990353697749195
The Beatles,Something - Remastered 2009,Abbey Road (Remastered),0.396,0.338,-10.872,0.0304,0.198,2.62e-06,0.138,0.377,133.522,3.0382166666666666,2.4492753623188404
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Planet Pit (Deluxe Version),0.671,0.939,-3.206,0.161,0.191,0.0,0.298,0.53,129.024,4.205116666666667,3.151006711409396
Pitbull,Timber (feat. Ke$ha),Global Warming: Meltdown (Deluxe Version),0.581,0.963,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992,3.4026666666666667,6.928057553956834
Pitbull,Time of Our Lives,Globalization,0.721,0.802,-5.797,0.0583,0.0921,0.0,0.694,0.724,124.022,3.822666666666666,1.1556195965417868
Pitbull,Feel This Moment (feat. Christina Aguilera),Global Warming: Meltdown (Deluxe Version),0.673,0.758,-3.632,0.158,0.039,0.0,0.341,0.542,135.956,3.8251166666666663,2.222873900293255
Pitbull,International Love (feat. Chris Brown),Planet Pit (Deluxe Version),0.67,0.855,-3.035,0.0499,0.0124,0.0,0.335,0.648,120.05,3.788,2.552238805970149
Pitbull,Fireball (feat. John Ryan),Globalization,0.761,0.933,-5.38,0.056,0.0908,8.53e-05,0.0607,0.836,122.959,3.9366666666666665,15.370675453047776
Pitbull,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),Globalization,0.592,0.935,-4.317,0.0581,0.00879,0.0154,0.132,0.567,125.013,3.708666666666667,7.083333333333333
Pitbull,Hotel Room Service,Pitbull Starring In Rebelution,0.85,0.631,-8.401,0.227,0.00684,0.000406,0.0679,0.738,126.002,3.96,9.293078055964653
Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),Planet Pit (Deluxe Version),0.595,0.912,-3.428,0.0884,0.0434,0.0,0.259,0.762,128.024,3.90755,3.5212355212355213
Pitbull,HOT,LEGENDADDY,0.898,0.677,-6.422,0.243,0.0223,0.0,0.35,0.578,130.027,2.574883333333333,1.9342857142857144
Sean Paul,No Lie,Mad Love The Prequel,0.742,0.882,-2.862,0.117,0.0466,0.0,0.206,0.463,102.04,3.6862666666666666,4.281553398058253
